idle_time,usr_time,interrupt_time
1425974.65,136330.98,9150.15
1425981.79,136331.51,9150.18
1425988.92,136332.01,9150.2
1425996.38,136332.26,9150.23
1426003.67,136332.65,9150.25
1426010.81,136333.15,9150.28
1426018.15,136333.54,9150.31
1426025.78,136333.74,9150.33
1426033.21,136334.02,9150.35
1426040.65,136334.3,9150.38
1426048.12,136334.58,9150.4
1426055.56,136334.86,9150.42
1426062.97,136335.24,9150.45
1426070.38,136335.57,9150.47
1426077.76,136335.93,9150.49
1426085.24,136336.2,9150.51
