US_identifier,State,Number_of_employees,Earnings_last_year,Business_area,Tax_percentage,Tax_amount
US_0001,Rhode Island,5925,126227690.55,Telecommunications,6.35,8015458.349924999
US_0002,Oregon,8031,397098807.25,Energy,9.48,37644966.9273
US_0003,Maryland,7402,147006013.96,Healthcare,8.47,12451409.382412001
US_0004,Indiana,8730,213670160.9,Education,5.51,11773225.86559
US_0005,New Mexico,836,123543328.25,Real Estate,7.45,9203977.954625
US_0006,Missouri,6242,355975702.13,Telecommunications,5.07,18047968.097991
US_0007,North Dakota,4683,335631906.78,Technology,6.88,23091475.186464
US_0008,Iowa,6580,314295253.99,Transportation,11.53,36238242.785046995
US_0009,New Hampshire,4229,461445935.36,Manufacturing,4.28,19749886.033408
US_0010,South Carolina,7424,134857024.37,Transportation,4.68,6311308.7405159995
US_0011,Nevada,4507,183242411.14,Energy,9.08,16638410.931511998
US_0012,Kansas,3556,476597278.81,Transportation,7.91,37698844.753871
US_0013,Rhode Island,9568,393931582.65,Education,6.35,25014655.498274997
US_0014,Maine,1597,46899389.07,Finance,11.98,5618546.810586001
US_0015,Idaho,3732,154371329.09,Finance,3.29,5078816.727061001
US_0016,Utah,5660,145946469.07,Finance,11.18,16316815.242025997
US_0017,Utah,2250,324109992.8,Manufacturing,11.18,36235497.19504
US_0018,Alaska,3672,71496430.19,Healthcare,7.43,5312184.7631169995
US_0019,Kansas,2088,300830914.18,Transportation,7.91,23795725.311638
US_0020,New Mexico,1970,351992124.43,Manufacturing,7.45,26223413.270035
US_0021,Wisconsin,3640,105586443.1,Technology,11.08,11698977.89548
US_0022,Michigan,8389,324670745.12,Real Estate,6.67,21655538.699504
US_0023,South Carolina,3871,183606186.52,Retail,4.68,8592769.529136
US_0024,West Virginia,7494,143927411.4,Healthcare,9.9,14248813.728600001
US_0025,Ohio,5614,24600022.46,Healthcare,8.89,2186941.9966940004
US_0026,Massachusetts,3634,263108532.76,Real Estate,4.92,12944939.811792
US_0027,Colorado,9354,291129103.71,Education,11.44,33305169.464423995
US_0028,Maine,7330,105687865.01,Technology,11.98,12661406.228198001
US_0029,Arkansas,796,367237891.22,Healthcare,7.79,28607831.726038
US_0030,Illinois,6826,492258332.56,Energy,10.95,53902287.415319994
US_0031,Texas,4471,373064258.24,Transportation,9.71,36224539.475104004
US_0032,Washington,4921,89978520.53,Finance,7.9,7108303.12187
US_0033,Delaware,1458,244939928.85,Retail,8.58,21015845.89533
US_0034,Kansas,4595,298140393.57,Manufacturing,7.91,23582905.131387
US_0035,Kentucky,3990,9633138.75,Manufacturing,3.79,365095.95862499997
US_0036,Alabama,4282,209675093.99,Real Estate,8.75,18346570.724125
US_0037,Iowa,682,366283819.58,Transportation,11.53,42232524.39757399
US_0038,Rhode Island,7856,449555333.18,Technology,6.35,28546763.65693
US_0039,South Dakota,4584,49200648.41,Energy,7.0,3444045.3887
US_0040,Oklahoma,7452,253618960.91,Healthcare,3.55,9003473.112305
US_0041,Wyoming,8625,62408502.85,Telecommunications,7.07,4412281.151495
US_0042,Wyoming,2547,86094343.79,Healthcare,7.07,6086870.1059530005
US_0043,Arkansas,2810,437396709.98,Education,7.79,34073203.707442
US_0044,Nebraska,2607,447105897.26,Energy,4.09,18286631.197933998
US_0045,Kentucky,8601,177710412.91,Finance,3.79,6735224.649289
